text příjmení;četnost
VITÁSEK;769
ŠMERDA;768
MACHÁČ;767
JIRKA;764
KAMENÍK;764
SEHNAL;764
GRUNDZA;763
HROMÁDKA;763
LAVIČKA;763
KUBICA;762
VAŠÁK;762
MICHNA;761
PAVLICA;761
HÁNA;760
LÍBAL;760
ŠIMČÍK;760
VINŠ;760
CAHA;759
KOLEK;759
KOLMAN;759
LUKÁČ;759
MASOPUST;759
PETŘÍČEK;758
JUREČKA;757
PODZIMEK;757
DANIŠ;754
PŠENIČKA;754
SEIFERT;753
STUPKA;753
JEŽ;752
LUKÁŠEK;752
VOKOUN;752
OLIVA;751
DITTRICH;749
JAREŠ;749
JECH;748
HORNÍČEK;747
RICHTR;747
KUBÁNEK;746
MAZÁNEK;746
KRÁLÍČEK;745
ŠEBELA;745
PILÁT;744
KUCHTA;742
MOJŽÍŠ;742
MOLNÁR;742
VODÁK;742
ČURDA;741
BYRTUS;740
SVĚTLÍK;740
MACÁK;739
FEJFAR;738
JANEČKA;737
KABÁT;737
HEŘMÁNEK;736
ŠILHAVÝ;736
BRADA;735
KAŠÍK;734
STIBOR;734
MRKVIČKA;733
SVATOŇ;733
NEDOMA;732
VÍCHA;732
BAYER;731
BRAUN;731
KOTAS;731
SVITÁK;731
BUBENÍK;730
VOBOŘIL;730
SVOZIL;729
BRÁZDIL;728
KAŇA;728
PLUHAŘ;727
GOTTWALD;726
KUČA;726
ŽĎÁRSKÝ;726
KŘEČEK;725
RATAJ;725
RÝDL;725
KALAŠ;723
VILÍMEK;722
PAUL;721
STREJČEK;721
ERBEN;719
CHLUP;719
PAVELEK;719
NESVADBA;716
GAŽI;715
HÝBL;715
DOUŠA;714
HŮLKA;714
OTÁHAL;714
WINKLER;714
HEGER;713
GRUBER;712
JENÍČEK;712
JUŘÍK;712
KAČÍREK;712
MALEČEK;712
BĚLOHLÁVEK;711
SOBEK;711
BRABENEC;710
JAKOUBEK;710
KOSÍK;710
KOTRBA;710
ŠÁLEK;710
KÁŇA;709
KREJZA;707
ZAHRADNÍČEK;707
KOKEŠ;705
KREJSA;705
PATERA;705
ŠULÁK;705
TANCOŠ;705
ZEMEK;705
NÝVLT;704
KAVAN;703
RYS;703
KOVANDA;702
KUBIŠTA;702
SOLDÁN;701
VACULA;701
HUBENÝ;695
KOŇAŘÍK;695
DRÁPAL;694
HOŘÍNEK;694
KOUTNÍK;694
KRAJČA;694
HALAMA;693
MACHEK;691
POHANKA;691
VAVERKA;691
ŠENKÝŘ;690
JIŘÍČEK;688
JURÁSEK;688
PALIČKA;688
GRULICH;687
HRABÁK;686
JÍCHA;685
ŠOUREK;685
HEJNÝ;684
STACH;684
VYCHODIL;684
MIKULEC;683
SLÍVA;683
PROUZA;682
ZAORAL;682
SYSEL;681
HAKL;680
KUBALA;680
JAROLÍM;679
KOUCKÝ;679
HAVRDA;678
HEJTMÁNEK;678
RUBEŠ;676
FRANTA;675
GAJDOŠÍK;675
NERAD;675
BRUNCLÍK;674
HNÍZDIL;673
MIKULKA;672
GIŇA;671
MOTTL;671
KONRÁD;670
ŽALUD;670
EICHLER;669
PRÁŠIL;668
LEXA;667
CINA;666
HLAVA;666
HERÁK;665
KREJČIŘÍK;665
RYŠÁNEK;665
GREPL;664
HOLUBEC;664
HRSTKA;664
ŠUSTEK;663
