text příjmení;četnost
TRAN HUY;17
UHRIN;17
VASYLYEV;17
VLASOV;17
VOZNYAK;17
VU HUU;17
WERNER;17
YASINSKYY;17
YATSYSHYN;17
YURASHCHUK;17
YURCHENKO;17
ZIMMERMANN;17
ADAMCZYK;16
ALIEV;16
ANDRASHCHUK;16
ANTOL;16
BECK;16
BIGUN;16
BILINCHUK;16
BISMAK;16
BONDARCHUK;16
BUI MANH;16
CAO XUAN;16
DANILOV;16
DAO XUAN;16
DMYTRUK;16
DUPYN;16
FAN;16
FARKAS;16
FETKO;16
FILIPPOV;16
FODOR;16
FULEY;16
GÁL;16
HERRMANN;16
HEVDI;16
HOANG XUAN;16
HORÁK;16
HRYNYUK;16
CHERKASOV;16
CHULEY;16
CHYYPESH;16
ILCHUK;16
ISHCHUK;16
KACHUR;16
KALYN;16
KAMINSKI;16
KARCHŇÁK;16
KAŠČÁK;16
KOMAROV;16
KONEVYCH;16
KOSTADINOV;16
KOVBASNYUK;16
KRIŽAN;16
KUBICA;16
KUCHARSKI;16
KUZYK;16
KWIATKOWSKI;16
KYRYCHENKO;16
LALIK;16
LALO;16
LAM;16
LARIONOV;16
LESKO;16
LYPCHEY;16
LYTVYN;16
MALÝ;16
MARKIV;16
MARKUSH;16
MASKALYUK;16
MATELEHA;16
MEDULYCH;16
MELNYKOVYCH;16
MESHKO;16
MILCHEVYCH;16
MLADENOV;16
MRÁZ;16
MYTSAK;16
NESTERENKO;16
NGO DINH;16
NOGA;16
OMAROV;16
ORSAH;16
OSTAPYUK;16
PALIY;16
PETER;16
PETRYSHYN;16
PIOTROWSKI;16
PLACHETKA;16
POHORILYAK;16
POPYK;16
PUPENA;16
RADIČ;16
ROSADA;16
ROSCA;16
SAMEK;16
SHANTA;16
SHYPOVYCH;16
SCHUSTER;16
SIMIČ;16
SOBOL;16
STEFANYSHYN;16
STOJANOVIČ;16
TADEVOSYAN;16
TOMASH;16
TRAN TIEN;16
TRUSH;16
TURTÁK;16
VASILIEV;16
VISHOVAN;16
VU QUOC;16
YANKO;16
YURASH;16
ŽILKA;16
ABBAS;15
ADÁMEK;15
AZEMI;15
BAKER;15
BELKO;15
BELYA;15
BENEŠ;15
BOBROV;15
BOBYK;15
BOLDI;15
BONKA;15
BORYS;15
BROVDI;15
BRUNNER;15
BRYNZEY;15
BUI ANH;15
BUI DINH;15
BUI VIET;15
BUI XUAN;15
BYSAHA;15
DIDUKH;15
DO TRONG;15
DOBRUNYK;15
DORDYAK;15
DUDÁŠ;15
DUONG DUC;15
DVORSKÝ;15
DVOŘÁK;15
DYAKIV;15
ĎURICA;15
FEDYSHYN;15
FRYHAN;15
GOLINEY;15
GREGA;15
GRUBER;15
HA QUANG;15
HAFYNETS;15
HANKO;15
HAVRAN;15
HE;15
HEBESH;15
HOLLÝ;15
HORVATH;15
HRUBÝ;15
HRYB;15
HUDZ;15
IVANCHUK;15
IVANTSYUK;15
IVANYNA;15
JACKO;15
JARKA;15
KANALOŠ;15
KANG;15
KEMENYASH;15
KORPOSH;15
KOSYUK;15
KUCHÁR;15
KUKLA;15
KUKUČKA;15
KUŠNÍR;15
KUTS;15
KUZIV;15
KYRYK;15
LA;15
LABUDA;15
LANGER;15
LAZAREV;15
LAZUR;15
LE HUU;15
LE NGUYEN;15
LEHEZA;15
LENGYEL;15
LOMAHA;15
MACURA;15
MAHULA;15
MACH;15
MAI THANH;15
MAKARENKO;15
MARKUS;15
MARTINI;15
MATULA;15
MIHAYLOV;15
MOHAMMAD;15
NAGORNYAK;15
NEMECEC;15
NGUYEN TAT;15
NIKIFOROV;15
NISTOR;15
OFRIM;15
OHAR;15
OLSZEWSKI;15
OSIPOV;15
OSMANI;15
PASTOREK;15
PAVLYSHYNETS;15
PAVLYUCHOK;15
PETRUK;15
PHAN CONG;15
PICHKAR;15
POLYANSKYY;15
POPOVICI;15
PROTS;15
RAMADANI;15
RÁC;15
ROMANETS;15
ROMANCHUK;15
ROSUSHCHAN;15
SAMORYHA;15
SHTEFURA;15
SHUSHMAN;15
SCHOLZ;15
SKRAL;15
SLOVÁK;15
STEPA;15
STOLETS;15
ŠARIŠSKÝ;15
ŠČUKA;15
ŠESTÁK;15
ŠKULTÉTY;15
ŠTEFÁNIK;15
TA VAN;15
TAFICHUK;15
TANCOŠ;15
TARAN;15
THAN;15
THOMPSON;15
TICHÝ;15
TOMA;15
TRNKA;15
TYMCHUK;15
VAN;15
VARYVODA;15
VORONIN;15
VOVKANYCH;15
VU ANH;15
VU VIET;15
WINTER;15
YANCHIY;15
ZELENCHUK;15
ZOU;15
ZUBYK;15
ZVONAR;15
ANISIMOV;14
ASATRYAN;14
BABIČ;14
